Kaza_Yili,Gelisim_12,Gelisim_24,Gelisim_36,Gelisim_48,Gelisim_60,Gelisim_72,Gelisim_84,Gelisim_96,Gelisim_108,Gelisim_120
2014,357848,1124788,1735330,2218270,2745596,3119812,3266205,3480838,3608752,3670983
2015,352118,1236139,2170033,3353322,3799067,4120063,4647867,4914039,5339085,
2016,290507,1292306,2218525,3235179,3985995,4132918,4628910,4909315,,
2017,310608,1418858,2195047,3757447,4029929,4381982,4588268,,,
2018,443160,1136350,2128333,2897820,3402672,3873311,,,,
2019,396132,1333217,2180715,2985752,3691712,,,,,
2020,440832,1288463,2419861,3483130,,,,,,
2021,359480,1421128,2864498,,,,,,,
2022,376686,1363294,,,,,,,,
2023,344014,,,,,,,,,
